"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-16",,,"0.01","0.4","1.2","29","33","20"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-17",,,"0.00","0.1","0.0","26","35","18"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-18",,,"0.00","0.0","0.0","23","33","14"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-19",,,"0.00","0.0","0.0","29","32","17"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-20",,,"0.00","0.0","0.0","22","34","13"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-21",,,"0.00","0.0","0.0","26","37","16"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-22",,,"0.00","0.0","0.0","32","36","29"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-23",,,"0.25","0.0","0.0","35","39","33"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-24",,,"0.00","0.0","0.0","33","34","15"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-25",,,"0.00","0.0","0.0","19","31","10"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-26",,,"0.00","0.0","0.0","34","48","26"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-27",,,"0.00","0.0","0.0","34","46","23"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-28",,,"0.40","0.0","0.0","44","49","38"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-02-29",,,"0.00","0.0","0.0","33","43","17"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-01",,,"0.00","0.0","0.0","23","39","13"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-02",,,"0.64","0.0","0.0","37","44","31"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-03",,,"1.11","0.0","0.0","46","55","40"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-04",,,"0.00","0.0","0.0","43","49","36"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-05",,,"0.44","0.0","0.0","39","40","37"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-06",,,"0.28","0.0","0.0","41","51","34"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-07",,,"1.35","0.0","0.0","41","43","37"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-08",,,"0.00","0.0","0.0","39","48","28"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-09",,,"0.01","0.0","0.0","34","39","26"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-10",,,"2.39","0.0","0.0","42","50","36"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-11",,,"0.00","0.0","0.0","37","41","31"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-12",,,"0.00","0.0","0.0","38","48","27"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-13",,,"0.00","0.0","0.0","39","50","27"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-14",,,"0.01","0.0","0.0","41","47","36"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-15",,,"0.32","0.0","0.0","39","40","37"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-16",,,"0.00","0.0","0.0","39","48","31"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-17",,,"0.16","0.0","0.0","44","55","35"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-18",,,"0.00","0.0","0.0","40","47","32"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-19",,,"0.00","0.0","0.0","38","44","31"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-20",,,"0.05","0.4","0.0","38","45","30"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-21",,,"0.00","0.0","0.0","31","35","24"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-22",,,"0.00","0.0","0.0","28","39","21"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-23",,,"2.13","5.3","2.0","29","32","26"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-24",,,"0.00","0.0","3.1","30","39","22"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-25",,,"0.00","0.0","2.0","31","38","25"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-26",,,"0.13","0.0","2.0","33","36","31"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-27",,,"0.26","0.0","1.2","40","50","35"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-28",,,"1.30","0.0","0.0","45","48","42"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-29",,,"0.42","0.0","0.0","42","46","38"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-30",,,"0.00","0.0","0.0","42","50","34"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-03-31",,,"0.00","0.0","0.0","42","52","31"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-01",,,"0.00","0.0","0.0","40","52","27"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-02",,,"0.00","0.0","0.0","41","48","35"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-03",,,"0.42","0.5","0.0","38","40","33"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-04",,,"0.56","7.1","3.9","34","34","32"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-05",,,"0.16","0.4","5.1","36","41","34"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-06",,,"0.03","0.0","3.1","37","41","34"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-07",,,"0.00","0.0","1.2","41","50","37"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-08",,,"0.00","0.0","0.0","46","64","34"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-09",,,"0.00","0.0","0.0","48","57","35"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-10",,,"0.22","0.0","0.0","40","46","31"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-11",,,"0.22","0.0","0.0","43","44","41"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-12",,,"0.85","0.0","0.0","48","53","44"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-13",,,"0.00","0.0","0.0","49","56","43"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-14",,,"0.00","0.0","0.0","49","61","39"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-15",,,"0.00","0.0","0.0","50","62","37"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-16",,,"0.00","0.0","0.0","51","65","35"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-17",,,"0.00","0.0","0.0","45","53","35"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-18",,,"0.00","0.0","0.0","44","50","36"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-19",,,"0.00","0.0","0.0","46","51","44"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-20",,,"0.26","0.0","0.0","48","56","41"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-21",,,"0.00","0.0","0.0","45","52","33"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-22",,,"0.00","0.0","0.0","44","54","33"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-23",,,"0.00","0.0","0.0","42","53","28"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-24",,,"0.03","0.0","0.0","46","57","32"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-25",,,"0.00","0.0","0.0","38","52","27"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-26",,,"0.00","0.0","0.0","42","57","26"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-27",,,"0.00","0.0","0.0","45","59","28"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-28",,,"0.27","0.0","0.0","47","52","44"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-29",,,"0.00","0.0","0.0","55","70","45"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-04-30",,,"0.12","0.0","0.0","48","50","43"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-01",,,"0.06","0.0","0.0","45","48","42"
